timestamp [ns],gaze x [px],gaze y [px]
1740468498968569998,1087.6680908203125,823.59033203125
1740468498973580998,1086.9024658203125,829.0648193359375
1740468498978569998,1086.5093994140625,831.1712036132812
1740468498983577998,1089.2049560546875,825.6680908203125
1740468498988569998,1087.55859375,823.3515625
1740468498993579998,1088.4725341796875,823.9677124023438
1740468498998569998,1086.769775390625,823.0987548828125
1740468499003582998,1088.6182861328125,824.69140625
1740468499008569998,1089.40673828125,824.9169311523438
1740468499013569998,1086.214599609375,826.2520751953125
1740468499018569998,1086.81494140625,824.6367797851562
1740468499023572998,1090.1854248046875,827.3519897460938
1740468499028569998,1092.4993896484375,827.01806640625
1740468499033569998,1094.519287109375,826.5509033203125
1740468499038569998,1090.5966796875,824.6605834960938
1740468499043569998,1087.7384033203125,818.169677734375
1740468499048569998,1088.5875244140625,816.6173706054688
1740468499053569998,1093.7069091796875,820.1305541992188
1740468499058569998,1085.36376953125,818.7879638671875
1740468499063569998,1084.582763671875,819.810546875
1740468499068569998,1084.17919921875,820.5050048828125
1740468499073694998,1091.1429443359375,814.2406005859375
1740468499078694998,1088.282958984375,817.7974853515625
1740468499083694998,1083.475341796875,817.9860229492188
1740468499088695998,1084.180419921875,823.4656982421875
1740468499093697998,1084.4925537109375,822.16259765625
1740468499098694998,1088.90673828125,820.9041137695312
1740468499103694998,1092.133544921875,815.7488403320312
1740468499108694998,1091.6207275390625,816.8070678710938
1740468499113700998,1086.7728271484375,817.6998291015625
1740468499118694998,1087.6397705078125,818.7965698242188
1740468499123694998,1083.89208984375,817.630859375
1740468499128704998,1086.47705078125,816.2755737304688
1740468499133694998,1089.7237548828125,817.5720825195312
1740468499138694998,1083.098388671875,818.6045532226562
1740468499143694998,1091.771484375,815.014892578125
1740468499148694998,1088.7119140625,814.5946044921875
1740468499153694998,1090.0489501953125,816.3815307617188
1740468499158706998,1089.6168212890625,809.693115234375
1740468499163694998,1087.273681640625,809.5209350585938
1740468499168694998,1085.533935546875,809.5860595703125
1740468499173694998,1084.9119873046875,812.8250732421875
1740468499178696998,1086.9559326171875,818.5479736328125
1740468499183694998,1084.0242919921875,817.1441650390625
1740468499188694998,1088.861328125,817.6088256835938
1740468499193694998,1084.3262939453125,824.0214233398438
1740468499198694998,1085.28955078125,823.3010864257812
1740468499203694998,1083.05419921875,823.4769287109375
1740468499208819998,1086.78955078125,823.5299682617188
1740468499213819998,1086.3541259765625,819.8912353515625
1740468499218832998,1087.0721435546875,817.6212158203125
1740468499223819998,1092.12939453125,815.1491088867188
1740468499228819998,1089.6407470703125,819.6021728515625
1740468499233831998,1090.109375,819.0735473632812
1740468499238819998,1096.30029296875,817.0435180664062
1740468499243819998,1094.497314453125,818.1857299804688
1740468499248819998,1093.576416015625,818.412841796875
1740468499253823998,1090.979248046875,815.906982421875
1740468499258819998,1091.716552734375,816.0182495117188
1740468499263832998,1091.77392578125,810.7264404296875
1740468499268819998,1090.0150146484375,813.0612182617188
1740468499273832998,1094.693359375,813.4750366210938
1740468499278819998,1091.7845458984375,816.2611083984375
1740468499283819998,1094.559814453125,818.2332153320312
1740468499288819998,1093.4599609375,815.773681640625
1740468499293822998,1092.86572265625,820.983154296875
1740468499298819998,1095.123779296875,820.1217651367188
1740468499303819998,1095.3487548828125,827.6890258789062
1740468499308819998,1097.5802001953125,824.6018676757812
1740468499313819998,1097.323974609375,824.8706665039062
1740468499318819998,1094.646728515625,826.0170288085938
1740468499323824998,1097.4927978515625,822.8782348632812
1740468499328819998,1099.9517822265625,824.9464721679688
1740468499333829998,1098.7640380859375,822.4917602539062
1740468499338944998,1099.666015625,826.5712890625
1740468499343834998,1099.5870361328125,832.858642578125
1740468499348944998,1099.6414794921875,831.4754638671875
1740468499353946998,1098.1856689453125,829.3777465820312
1740468499358944998,1099.99609375,827.7896118164062
1740468499363944998,1103.025634765625,827.9899291992188
1740468499368944998,1099.111083984375,823.5169677734375
1740468499373944998,1092.0985107421875,817.2081909179688
1740468499378944998,1081.7647705078125,823.4950561523438
1740468499383944998,1063.9632568359375,818.5608520507812
1740468499388944998,1043.1981201171875,809.36572265625
1740468499393944998,1023.1400146484375,795.1495971679688
1740468499398944998,1012.393798828125,783.2578125
1740468499403944998,1006.0626831054688,772.8436889648438
1740468499408944998,994.4595336914062,773.3375854492188
1740468499413944998,985.418701171875,773.687744140625
1740468499418944998,981.1444091796876,776.5908813476562
1740468499423947998,976.7227172851562,776.803466796875
1740468499428944998,978.7253417968749,772.0818481445312
1740468499433948998,980.4712524414062,778.0748901367188
1740468499438944998,985.1443481445311,780.2590942382812
1740468499443944998,988.7283935546875,780.9700317382812
1740468499448944998,985.9368896484375,779.668212890625
1740468499453947998,983.4837036132812,781.4118041992188
1740468499458944998,985.9581909179689,781.5234375
1740468499463944998,989.9083251953124,780.2450561523438
1740468499468952998,983.2173461914061,783.7893676757812
1740468499474069998,988.69287109375,782.4299926757812
1740468499479069998,991.6310424804686,782.8251953125
1740468499484069998,996.7606201171875,782.1279907226562
1740468499489072998,996.0103149414061,777.388671875
1740468499494082998,997.1114501953125,778.8145751953125
1740468499499069998,998.7855834960938,781.9083862304688
1740468499504069998,1001.0569458007814,783.3191528320312
1740468499509069998,1002.0607910156251,780.9695434570312
1740468499514069998,1002.8129272460938,781.4058227539062
1740468499519069998,1004.7642822265624,783.4880981445312
1740468499524069998,1003.4166870117188,786.8162841796875
1740468499529069998,1001.885986328125,787.3984375
1740468499534073998,1003.0102539062501,787.052734375
1740468499539069998,1006.1737060546875,782.63427734375
1740468499544069998,1002.12548828125,786.1279907226562
1740468499549069998,1002.4302368164064,786.5411987304688
1740468499554069998,997.8255615234375,790.5455322265625
1740468499559069998,995.9047241210938,790.4208374023438
1740468499564069998,996.0529174804688,787.8436279296875
1740468499569069998,995.7592773437501,788.3522338867188
1740468499574069998,997.2431030273438,786.5861206054688
1740468499579069998,999.4635009765625,785.4708862304688
1740468499584072998,1000.36865234375,788.7293090820312
1740468499589082998,1001.3293457031249,791.5686645507812
1740468499594069998,998.3551025390625,789.9254150390625
1740468499599194998,999.7858886718751,791.73876953125
1740468499604199998,1004.45654296875,793.7509765625
1740468499609202998,999.6727294921875,790.51171875
1740468499614194998,1002.8892822265625,798.1508178710938
1740468499619194998,1002.0906372070312,802.3553466796875
1740468499624197998,996.1515502929688,804.7041625976562
1740468499629194998,998.2118530273438,799.8800659179688
1740468499634197998,998.9249877929688,795.1779174804688
1740468499639194998,997.1610717773438,799.7683715820312
1740468499644194998,996.3933105468749,801.7662353515625
1740468499649194998,998.6710815429686,800.6858520507812
1740468499654194998,997.6106567382812,796.829345703125
1740468499659194998,1000.1212158203124,798.9966430664062
1740468499664194998,1000.0941772460938,799.265869140625
1740468499669194998,1004.1229858398438,798.425048828125
1740468499674194998,1003.6231079101561,800.6118774414062
1740468499679207998,1007.5267333984375,798.5665283203125
1740468499684194998,1007.6172485351562,797.8787841796875
1740468499689194998,1004.67431640625,800.31640625
1740468499694194998,1006.4624633789062,797.0682373046875
1740468499699194998,1003.620849609375,796.0521850585938
1740468499704194998,1000.5086059570311,798.7129516601562
1740468499709194998,1001.1843872070311,801.9727783203125
1740468499714194998,1001.0948486328125,798.8156127929688
1740468499719194998,997.314697265625,804.6094970703125
1740468499724194998,999.3988647460938,800.9901733398438
1740468499729322998,1002.6885986328125,803.7155151367188
1740468499734319998,1004.457275390625,802.6705322265625
1740468499739319998,1004.5940551757812,801.6737670898438
1740468499744319998,1000.9066772460936,799.536376953125
1740468499749319998,999.1858520507811,804.0405883789062
1740468499754320998,997.7225952148438,806.1677856445312
1740468499759319998,993.89892578125,804.4907836914062
1740468499764319998,995.7716674804689,800.810791015625
1740468499769319998,998.0089111328125,799.0891723632812
1740468499774319998,1003.1824340820312,805.5128784179688
1740468499779319998,1003.5267333984375,803.8060913085938
1740468499784319998,1000.1903076171875,802.8867797851562
1740468499789319998,1000.7546997070312,802.1625366210938
1740468499794319998,992.9924926757814,805.4461669921875
1740468499799319998,996.4405517578125,803.0084228515625
1740468499804319998,990.9696044921875,805.9417724609375
1740468499809324998,993.912841796875,805.2420043945312
1740468499814319998,990.9063110351562,806.3101196289062
1740468499819319998,993.5466918945312,813.449462890625
1740468499824319998,1004.69189453125,819.503173828125
1740468499829319998,1021.3884887695312,820.4285888671875
1740468499834319998,1027.4844970703125,821.7177734375
1740468499839319998,1039.3350830078125,827.6976318359375
1740468499844319998,1044.4320068359375,826.08837890625
1740468499849319998,1049.3804931640625,826.5527954101562
1740468499854319998,1048.41943359375,827.8740844726562
1740468499859444998,1048.418701171875,829.3605346679688
1740468499864455998,1049.8482666015625,827.7944946289062
1740468499869444998,1044.674560546875,828.9724731445312
1740468499874450998,1045.31982421875,824.58349609375
1740468499879444998,1048.0687255859375,827.3351440429688
1740468499884444998,1047.9493408203125,827.9508056640625
1740468499889444998,1046.3743896484375,833.7444458007812
1740468499894444998,1051.16259765625,825.1785278320312
1740468499899444998,1052.392578125,829.18701171875
1740468499904457998,1047.6123046875,829.6026611328125
1740468499909444998,1046.1129150390625,829.7117309570312
1740468499914444998,1051.1292724609375,831.0123901367188
1740468499919444998,1048.6556396484375,833.3040161132812
1740468499924444998,1048.0384521484375,833.8905029296875
1740468499929444998,1050.6829833984375,835.2380981445312
1740468499934444998,1045.704833984375,836.9972534179688
1740468499939444998,1044.7584228515625,833.3745727539062
1740468499944444998,1045.694580078125,833.3971557617188
1740468499949444998,1048.06005859375,832.863037109375
1740468499954444998,1046.79150390625,829.6015625
1740468499959444998,1047.8414306640625,831.3627319335938
1740468499964444998,1045.768310546875,835.846923828125
1740468499969444998,1044.0704345703125,833.3234252929688
1740468499974444998,1041.70068359375,840.088134765625
1740468499979444998,1040.7254638671875,837.9373168945312
1740468499984444998,1042.55908203125,837.5047607421875
1740468499989569998,1042.6766357421875,838.75830078125
1740468499994451998,1042.109619140625,840.0481567382812
1740468499999569998,1040.022705078125,844.10693359375
1740468500004569998,1041.0140380859375,840.471923828125
1740468500009569998,1039.3544921875,844.9150390625
1740468500014569998,1039.607421875,842.46337890625
1740468500019569998,1043.8529052734375,839.243408203125
1740468500024569998,1043.387451171875,842.7636108398438
1740468500029584998,1042.8408203125,840.9607543945312
1740468500034569998,1042.75,841.2268676757812
1740468500039569998,1046.8038330078125,837.6751708984375
1740468500044569998,1041.0240478515625,838.4374389648438
1740468500049569998,1042.7138671875,838.34423828125
1740468500054569998,1047.5770263671875,841.2037963867188
1740468500059569998,1049.3934326171875,838.4423217773438
1740468500064574998,1045.5479736328125,833.8573608398438
1740468500069569998,1038.15185546875,815.6232299804688
1740468500074569998,1028.2742919921875,815.4661865234375
1740468500079569998,1026.31103515625,811.546142578125
1740468500084569998,1017.5421142578125,813.3527221679688
1740468500089572998,1012.3895874023438,817.9462280273438
1740468500094569998,1004.2036743164064,813.4231567382812
1740468500099575998,1000.2962646484375,809.4521484375
